,Parent_ID,Parent_Name,Topics,Child_Left_ID,Child_Left_Name,Child_Right_ID,Child_Right_Name,Distance
4,10,municipal_case_officers_employees_video,"[0, 1, 2, 3, 4, 5]",5,premises_procedural_actions_person_brought,9,municipal_case_officers_employees_video,0.8485394308771431
3,9,municipal_case_officers_employees_video,"[0, 1, 2, 3, 4]",8,municipal_case_officers_employees_video,4,let_picture_answer_thanks_nice,0.7406482779375942
2,8,municipal_case_officers_employees_video,"[0, 1, 2, 3]",0,arrested_man_old_officers_drunk,7,case_employees_calls_violations_time,0.6434086254169489
1,7,case_employees_calls_violations_time,"[1, 2, 3]",6,case_employees_calls_time_violations,2,app_thank_twitter_send_mobile,0.6217620174727523
0,6,case_employees_calls_time_violations,"[1, 3]",3,called_noticed_persons_came_invented,1,case_violation_riga_calls_time,0.5690630468394783
